RUN_DATE,HOURID,SCHEMA_NAME       ,NO_OF_QUERIES,NO_OF_RECORDS,MEM_SIZE_MB
1-Aug-21,1,CSC_STAGING       ,1,"4,371,240",95.56
1-Aug-21,2,CSC_STAGING       ,1,"2,947,557",56.92
1-Aug-21,4,CSC_STAGING       ,2,"4,370,604",115.58
1-Aug-21,5,CSC_GSM_SCHEDULER ,1,"539,191",99.25
1-Aug-21,5,CSC_STAGING       ,1,"23,080,748",162.96
1-Aug-21,6,CSC_STAGING       ,2,"4,368,705",115.97
1-Aug-21,7,CSC_STAGING       ,1,"4,368,618",80.72
1-Aug-21,8,CSC_STAGING       ,1,"4,367,455",93.05
1-Aug-21,9,CSC_STAGING       ,6,"32,457,552",263.62
1-Aug-21,9,SAPHANADBA        ,1,1,1.08
1-Aug-21,10,CSC_STAGING       ,3,"41,599,064",119.6
1-Aug-21,11,CSC_STAGING       ,1,"4,365,957",91.3
1-Aug-21,11,CSC_UFO_STAGING_ID,1,"2,107,149",0.34
1-Aug-21,12,CSC_STAGING       ,1,"23,079,717",166.9
1-Aug-21,13,CSC_STAGING       ,1,"4,367,189",110.32
1-Aug-21,14,CSC_STAGING       ,5,"23,902,927",311.08
1-Aug-21,15,CSC_STAGING       ,3,"41,602,101",144.67
1-Aug-21,16,CSC_STAGING       ,1,"4,369,057",102.45
1-Aug-21,17,CSC_STAGING       ,1,"4,369,136",113.6
1-Aug-21,18,CSC_STAGING       ,6,"23,908,432",320.03
1-Aug-21,19,CSC_STAGING       ,3,"41,602,921",129.75
1-Aug-21,20,CSC_STAGING       ,1,"4,369,902",112.03
1-Aug-21,21,CSC_STAGING       ,1,"23,082,932",166.74
1-Aug-21,21,MTHIRUMO          ,1,0,0.57
1-Aug-21,22,CSC_STAGING       ,2,"4,370,845",118.47
1-Aug-21,23,CSC_STAGING       ,1,"2,676,069",64.63
1-Aug-21,23,CSC_UOV_ANG       ,2,0,157.42
2-Aug-21,0,CSC_STAGING       ,2,"23,084,013",238.95
2-Aug-21,1,CSC_STAGING       ,3,"41,607,065",128.63
2-Aug-21,2,CSC_STAGING       ,1,"4,374,299",108.68
2-Aug-21,3,CSC_STAGING       ,4,"29,110,745",212.83
2-Aug-21,3,SYSTEM            ,1,1,1.06
2-Aug-21,4,CSC_STAGING       ,2,"41,602,580",91.49
2-Aug-21,5,CSC_GSM_SCHEDULER ,1,"3,803,639",100.69
2-Aug-21,5,CSC_STAGING       ,2,"4,366,552",139.01
2-Aug-21,5,MONITOR_DAA       ,1,1,0
2-Aug-21,6,CSC_STAGING       ,1,"4,364,733",88.61
2-Aug-21,7,CSC_STAGING       ,1,"2,929,042",55
2-Aug-21,8,CSC_STAGING       ,1,"23,039,806",167.06
2-Aug-21,9,CSC_STAGING       ,1,"4,366,552",91.77
2-Aug-21,10,CSC_STAGING       ,1,"2,929,005",62.65
2-Aug-21,11,CSC_STAGING       ,2,"10,071,545",85
2-Aug-21,11,CSC_UFO_STAGING_ID,1,"1,106,223",0.18
2-Aug-21,12,CSC_STAGING       ,5,"23,893,774",306.07
2-Aug-21,13,CSC_STAGING       ,2,"4,368,555",107.65
2-Aug-21,14,CSC_STAGING       ,1,"4,368,021",88.75
2-Aug-21,15,CSC_STAGING       ,9,"30,026,805",367.37
2-Aug-21,15,CSC_UFO_ID        ,2,"11,478,871",27.23
2-Aug-21,16,CSC_STAGING       ,2,"4,369,914",138.66
2-Aug-21,17,CSC_STAGING       ,1,"4,370,432",104.19
2-Aug-21,18,CSC_STAGING       ,1,"23,089,323",162.56
2-Aug-21,19,CSC_STAGING       ,2,"4,364,761",118.87
2-Aug-21,20,CSC_STAGING       ,1,"4,368,573",108.54
2-Aug-21,21,CSC_STAGING       ,2,"4,367,609",92.39
2-Aug-21,21,SYSTEM            ,1,3,0.17
2-Aug-21,22,CSC_GSM_SCHEDULER ,2,"6,513,360",28.77
2-Aug-21,22,CSC_STAGING       ,1,"4,366,035",90.71
2-Aug-21,22,PALMUTHU          ,1,0,0
2-Aug-21,23,CSC_STAGING       ,1,"4,366,487",82.35
2-Aug-21,23,CSC_UFO_ID        ,1,"61,756",1.8
2-Aug-21,23,CSC_UFO_STAGING_ID,1,"1,109,253",0.09
2-Aug-21,23,SAPHANADBA        ,1,1,1.06
3-Aug-21,0,CSC_STAGING       ,1,"4,366,893",95.54
3-Aug-21,1,CSC_GSM_BAAO_UI   ,1,1,0.96
3-Aug-21,1,CSC_STAGING       ,3,"41,610,246",138.92
3-Aug-21,2,CSC_STAGING       ,1,"4,369,247",94.59
3-Aug-21,4,CSC_STAGING       ,1,"2,174,710",163.94
3-Aug-21,4,VATMURI           ,1,200,52.89
3-Aug-21,5,CSC_GSM_SCHEDULER ,1,"1,343,968",88.64
3-Aug-21,5,CSC_STAGING       ,2,"4,358,057",124.76
3-Aug-21,6,CSC_STAGING       ,1,"4,358,140",90.2
3-Aug-21,6,CSC_UOV_ANG       ,1,14,6.05
3-Aug-21,7,CSC_STAGING       ,1,"4,360,453",111.22
3-Aug-21,8,CSC_STAGING       ,5,"28,044,054",300.77
3-Aug-21,8,CSC_UOV_ANG       ,1,368,3.26
3-Aug-21,9,CSC_STAGING       ,1,"23,078,445",162.75
3-Aug-21,10,CSC_STAGING       ,1,"4,366,098",109.34
3-Aug-21,11,CSC_STAGING       ,1,"4,365,229",97.21
3-Aug-21,11,CSC_UFO_UI_ID     ,1,100,81.29
3-Aug-21,12,CSC_STAGING       ,1,"4,365,372",92.64
3-Aug-21,12,CSC_UOV_ANG       ,1,"124,594",14.68
3-Aug-21,13,CSC_STAGING       ,1,"4,365,933",83.12
3-Aug-21,14,CSC_STAGING       ,1,"4,366,990",112.58
3-Aug-21,14,CSC_UOV_ANG       ,1,"1,600",5.24
3-Aug-21,15,CSC_STAGING       ,2,"23,112,233",237.37
3-Aug-21,16,CSC_STAGING       ,1,"23,113,493",167.01
3-Aug-21,17,CSC_STAGING       ,1,"4,372,650",100.74
3-Aug-21,18,CSC_STAGING       ,1,"4,373,428",82.28
3-Aug-21,19,CSC_STAGING       ,1,"4,373,282",114.23
3-Aug-21,20,CSC_STAGING       ,1,"4,373,063",94.58
3-Aug-21,21,CSC_STAGING       ,2,"4,376,572",142.89
3-Aug-21,22,CSC_STAGING       ,2,"4,375,555",141.3
3-Aug-21,23,AJAIT             ,1,0,87.54
3-Aug-21,23,CSC_STAGING       ,1,"23,142,720",162.72
3-Aug-21,23,CSC_UFO_STAGING_ID,2,"2,222,946",0.18
3-Aug-21,23,CSC_UOV_ANG       ,1,14,6.12
4-Aug-21,0,CSC_STAGING       ,1,"23,147,336",166.12
4-Aug-21,1,CSC_STAGING       ,1,"23,117,275",165.34
4-Aug-21,1,VPUDURAN          ,1,65,3.43
4-Aug-21,2,CSC_STAGING       ,2,"4,377,958",122.78
4-Aug-21,3,CSC_STAGING       ,1,"23,127,522",162.76
4-Aug-21,4,CSC_STAGING       ,1,"4,367,518",104.32
4-Aug-21,5,CSC_GSM_SCHEDULER ,1,93,90.32
4-Aug-21,5,CSC_STAGING       ,1,"23,088,869",167.16
4-Aug-21,6,CSC_STAGING       ,1,"23,096,856",167.38
4-Aug-21,7,CSC_STAGING       ,2,"4,368,966",121.17
4-Aug-21,8,CSC_STAGING       ,4,"41,735,943",158.5
4-Aug-21,9,CSC_STAGING       ,3,"41,625,787",144.83
4-Aug-21,9,CSC_UOV_ANG       ,1,"22,973",5.25
4-Aug-21,10,CSC_STAGING       ,2,"4,375,407",121.09
4-Aug-21,11,CSC_STAGING       ,1,"4,375,583",113.26
4-Aug-21,12,CSC_STAGING       ,5,"812,294",155.69
4-Aug-21,13,CSC_STAGING       ,8,"30,074,389",355.16
4-Aug-21,14,CSC_STAGING       ,1,"3,029,092",61.39
4-Aug-21,15,CSC_STAGING       ,4,"809,053",144.34
4-Aug-21,16,CSC_STAGING       ,1,"4,382,478",92.52
4-Aug-21,17,CSC_STAGING       ,1,"4,386,019",110.42
4-Aug-21,18,CSC_STAGING       ,1,"4,386,134",110.5
4-Aug-21,19,CSC_STAGING       ,2,"4,388,592",142.89
4-Aug-21,20,CSC_STAGING       ,1,"4,388,692",92.81
4-Aug-21,21,EXTERNAL_SUPPORT  ,1,0,250
4-Aug-21,23,CSC_STAGING       ,4,"41,755,866",201.18
5-Aug-21,0,CSC_STAGING       ,1,"4,381,975",92.32
5-Aug-21,1,CSC_STAGING       ,1,"4,383,313",117.45
5-Aug-21,1,EXTERNAL_SUPPORT  ,1,-1,248.45
5-Aug-21,3,CSC_GSM_SCHEDULER ,6,"13,960,435",22.81
5-Aug-21,4,CSC_STAGING       ,2,"4,389,102",120.8
5-Aug-21,4,CSC_UOV_ANG       ,1,0,0.87
5-Aug-21,5,CSC_GSM_SCHEDULER ,1,459,90.44
5-Aug-21,6,CSC_STAGING       ,1,"23,119,750",161.21
5-Aug-21,7,CSC_STAGING       ,1,-1,79.74
5-Aug-21,8,CSC_STAGING       ,2,"4,383,488",127.47
5-Aug-21,9,CSC_STAGING       ,3,"29,261,750",198.86
5-Aug-21,10,CSC_STAGING       ,1,"4,386,654",91.38
5-Aug-21,11,CSC_STAGING       ,1,"7,167,831",24.77
5-Aug-21,11,CSC_UFO_ID        ,1,"582,489",17.39
5-Aug-21,12,CSC_STAGING       ,2,"4,388,021",118.75
5-Aug-21,14,CSC_STAGING       ,2,"4,390,518",110.1
5-Aug-21,15,CSC_STAGING       ,1,"23,211,278",165.23
5-Aug-21,16,CSC_STAGING       ,1,"23,215,678",165.67
5-Aug-21,18,CSC_STAGING       ,1,"4,394,218",112.44
5-Aug-21,19,CSC_STAGING       ,1,"23,215,745",164.1
5-Aug-21,19,DBAEVA            ,1,0,0
5-Aug-21,20,CSC_STAGING       ,4,"27,659,026",291.06
5-Aug-21,21,CSC_STAGING       ,1,"4,392,779",109.95
5-Aug-21,22,CSC_STAGING       ,2,"27,562,489",188.71
5-Aug-21,23,CSC_STAGING       ,8,"908,337",159.4
5-Aug-21,23,CSC_UFO_STAGING_ID,1,"1,117,467",0.09
6-Aug-21,0,CSC_GSM_BAAO_UI   ,1,0,11.5
6-Aug-21,0,CSC_STAGING       ,1,"23,227,715",119.22
6-Aug-21,1,CSC_STAGING       ,1,"3,124,485",59.16
6-Aug-21,2,CSC_STAGING       ,1,"4,394,216",112.57
6-Aug-21,4,CSC_STAGING       ,6,"37,920,640",310.16
6-Aug-21,5,CSC_STAGING       ,1,"21,991,946",164.39
6-Aug-21,6,CSC_UOV_ANG       ,4,0,0.33
6-Aug-21,10,CSC_STAGING       ,1,"23,237,248",167.7
6-Aug-21,11,CSC_STAGING       ,4,"795,819",140.92
6-Aug-21,12,CSC_STAGING       ,1,"4,402,810",91.12
6-Aug-21,13,CSC_STAGING       ,1,"4,398,932",90.77
6-Aug-21,14,CSC_STAGING       ,3,"27,584,035",257.72
6-Aug-21,15,CSC_STAGING       ,4,"41,793,383",140.6
6-Aug-21,16,CSC_STAGING       ,1,"4,413,276",118.69
6-Aug-21,16,CSC_UOV_ANG       ,1,"26,721",5.25
6-Aug-21,17,CSC_STAGING       ,1,"4,416,205",90.52
6-Aug-21,18,CSC_STAGING       ,1,"23,307,681",167.25
6-Aug-21,19,CSC_STAGING       ,1,"4,416,721",96.81
6-Aug-21,19,CSC_UOV_ANG       ,1,278,81.06
6-Aug-21,20,CSC_STAGING       ,3,"27,625,336",260.3
6-Aug-21,21,CSC_STAGING       ,5,"24,106,072",306.55
6-Aug-21,22,CSC_STAGING       ,2,"4,405,329",118.68
6-Aug-21,23,CSC_STAGING       ,2,"4,413,113",140.81
6-Aug-21,23,CSC_UFO_STAGING_ID,5,"5,599,320",0.47
7-Aug-21,0,CSC_STAGING       ,1,"4,412,092",94.56
7-Aug-21,1,CSC_STAGING       ,1,"23,243,883",166.85
7-Aug-21,2,CSC_STAGING       ,3,"4,527,096",176.58
7-Aug-21,4,CSC_STAGING       ,1,"4,411,049",99.46
7-Aug-21,5,CSC_GSM_SCHEDULER ,1,"72,679",90.45
7-Aug-21,5,CSC_STAGING       ,5,"44,802,976",169.74
7-Aug-21,6,CSC_STAGING       ,2,"4,409,426",110.7
7-Aug-21,7,CSC_GSM_BAAO_UI   ,1,1,1.18
7-Aug-21,7,CSC_STAGING       ,1,"4,410,083",111.94
7-Aug-21,8,CSC_STAGING       ,1,"4,409,915",111.7
7-Aug-21,9,CSC_STAGING       ,2,"4,410,665",92.44
7-Aug-21,12,CSC_STAGING       ,1,"23,240,989",163.27
7-Aug-21,13,CSC_STAGING       ,1,"23,241,025",161.42
7-Aug-21,14,CSC_STAGING       ,2,"4,406,884",141.1
7-Aug-21,15,CSC_STAGING       ,1,"4,406,360",96.09
7-Aug-21,16,CSC_STAGING       ,1,"23,236,951",160.61
7-Aug-21,17,CSC_STAGING       ,1,-1,75.73
7-Aug-21,18,CSC_STAGING       ,1,"4,406,435",69.35
7-Aug-21,20,CSC_STAGING       ,1,"4,406,420",101.25
7-Aug-21,21,CSC_STAGING       ,1,"23,237,082",169.61
7-Aug-21,23,CSC_STAGING       ,4,"803,264",142.25
8-Aug-21,0,CSC_STAGING       ,1,"4,405,959",91.92
8-Aug-21,1,CSC_STAGING       ,1,"4,405,981",75.28
8-Aug-21,2,CSC_STAGING       ,4,"29,189,806",207.25
8-Aug-21,4,CSC_STAGING       ,2,"4,405,690",143.93
8-Aug-21,5,CSC_GSM_SCHEDULER ,1,245,90.47
8-Aug-21,5,CSC_STAGING       ,1,-1,75.79
8-Aug-21,7,CSC_STAGING       ,1,"23,160,803",165.44
8-Aug-21,8,CSC_STAGING       ,4,"803,184",143.98
8-Aug-21,9,CSC_STAGING       ,1,"23,156,324",166.05
8-Aug-21,10,CSC_STAGING       ,4,"802,556",141.45
8-Aug-21,11,CSC_STAGING       ,1,"23,155,943",161.79
8-Aug-21,11,CSC_UFO_ID        ,1,"3,038,144",16.98
8-Aug-21,12,CSC_STAGING       ,1,"3,139,603",58.57
8-Aug-21,13,CSC_STAGING       ,2,"3,453,008",89.03
8-Aug-21,14,CSC_STAGING       ,1,"23,153,971",166.25
8-Aug-21,15,CSC_STAGING       ,2,"3,146,032",91.18
8-Aug-21,17,CSC_STAGING       ,1,"23,154,276",124.73
8-Aug-21,18,CSC_STAGING       ,2,"3,452,576",88.09
8-Aug-21,20,CSC_STAGING       ,2,"4,404,624",139.58
8-Aug-21,21,CSC_UFO_UI_ID     ,1,57,3.54
8-Aug-21,21,PALMUTHU          ,1,0,0
8-Aug-21,22,CSC_STAGING       ,1,"7,091,282",25.89
8-Aug-21,23,CSC_GSM_BAAO_UI   ,1,"31,303",3.43
8-Aug-21,23,CSC_STAGING       ,1,"23,152,924",165.89
8-Aug-21,23,CSC_UOV_ANG       ,1,4,1.61
9-Aug-21,0,CSC_STAGING       ,1,"4,403,212",112.85
9-Aug-21,0,CSC_UOV_ANG       ,1,"2,000",22.26
9-Aug-21,1,CSC_STAGING       ,1,"7,027,256",23.7
9-Aug-21,3,EXTERNAL_SUPPORT  ,1,0,234.3
9-Aug-21,3,VATMURI           ,1,3,1.64
9-Aug-21,4,CSC_STAGING       ,1,"18,018,597",165.91
9-Aug-21,5,CSC_GSM_SCHEDULER ,1,34,92.26
9-Aug-21,5,CSC_STAGING       ,2,"4,402,518",141.47
9-Aug-21,6,EXTERNAL_SUPPORT  ,1,32,20.77
9-Aug-21,7,CSC_STAGING       ,5,"44,795,703",162.43
9-Aug-21,9,CSC_STAGING       ,1,"23,099,272",168.05
9-Aug-21,10,CSC_STAGING       ,2,"27,329,729",176.56
9-Aug-21,11,CSC_STAGING       ,2,"3,427,079",90.81
9-Aug-21,11,CSC_UFO_STAGING_ID,1,"1,126,097",0.09
9-Aug-21,12,CSC_STAGING       ,1,"23,112,623",161.9
9-Aug-21,13,CSC_STAGING       ,4,"29,107,988",246.31
9-Aug-21,13,CSC_UOV_ANG       ,1,"30,037",5.26
9-Aug-21,14,CSC_STAGING       ,1,"4,387,808",65.29
9-Aug-21,15,CSC_STAGING       ,1,"7,058,982",24.47
9-Aug-21,15,CSC_UFO_ID        ,2,"44,809",9.5
9-Aug-21,16,CSC_STAGING       ,2,"4,387,307",139.46
9-Aug-21,17,CSC_STAGING       ,1,"23,124,080",161.4
9-Aug-21,18,CSC_STAGING       ,1,"4,385,877",89.72
9-Aug-21,18,CSC_UFO_UI_ID     ,1,100,57.35
9-Aug-21,20,CSC_STAGING       ,1,"23,124,859",155.89
9-Aug-21,21,CSC_STAGING       ,1,"3,103,297",60.32
9-Aug-21,21,DBAEVA            ,1,0,0
9-Aug-21,22,CSC_GSM_BAAO_UI   ,1,0,11.32
9-Aug-21,22,CSC_STAGING       ,1,"23,124,753",165.8
9-Aug-21,23,CSC_STAGING       ,1,"4,383,431",112.9
9-Aug-21,23,CSC_UFO_STAGING_ID,1,"1,129,011",0.09
9-Aug-21,23,_SYS_STATISTICS   ,1,4,0.01
10-Aug-21,0,CSC_STAGING       ,1,"23,121,909",162.51
10-Aug-21,0,CSC_UOV_ANG       ,20,"119,662,671",119.57
10-Aug-21,0,MONITOR           ,1,1,0.01
10-Aug-21,1,CSC_LANDING       ,1,"77,028,679",101.98
10-Aug-21,1,CSC_STAGING       ,2,"4,385,553",144.11
10-Aug-21,2,CSC_STAGING       ,1,"23,075,657",168.19
10-Aug-21,3,CSC_STAGING       ,1,"23,075,465",161.6
10-Aug-21,4,CSC_STAGING       ,1,"4,380,682",62.18
10-Aug-21,5,CSC_STAGING       ,1,"23,080,047",159.29
10-Aug-21,6,CSC_STAGING       ,1,-1,74.98
10-Aug-21,7,CSC_STAGING       ,9,"27,330,102",186.57
10-Aug-21,7,CSC_UOV_ANG       ,1,6,1.43
10-Aug-21,7,EXTERNAL_SUPPORT  ,1,"2,080",80.64
10-Aug-21,7,SYSTEM            ,1,1,1.08
10-Aug-21,8,CSC_STAGING       ,2,"3,413,582",90.31
10-Aug-21,10,CSC_STAGING       ,1,"23,101,308",164.08
10-Aug-21,10,CSC_UOV_ANG       ,1,226,1.85
10-Aug-21,11,CSC_STAGING       ,1,"4,384,134",81.72
10-Aug-21,12,CSC_GSM_BAAO_UI   ,2,7,3.08
10-Aug-21,12,CSC_STAGING       ,2,"4,382,914",140.67
10-Aug-21,13,CSC_STAGING       ,1,"23,115,553",165.4
10-Aug-21,14,CSC_STAGING       ,1,-1,74.85
10-Aug-21,15,CSC_STAGING       ,2,"4,383,774",139.78
10-Aug-21,17,CSC_STAGING       ,2,"4,386,507",119.43
10-Aug-21,19,CSC_STAGING       ,1,"23,126,242",164.74
10-Aug-21,20,CSC_STAGING       ,1,"3,085,126",62.66
10-Aug-21,20,EXTERNAL_SUPPORT  ,1,0,87.21
10-Aug-21,21,CSC_STAGING       ,1,"23,125,371",166.27
10-Aug-21,23,CSC_GSM_BAAO_UI   ,1,0,12.51
10-Aug-21,23,CSC_STAGING       ,4,"41,790,801",185.13
11-Aug-21,0,CSC_STAGING       ,1,-1,74.91
11-Aug-21,0,EXTERNAL_SUPPORT  ,1,100,230.3
11-Aug-21,1,CSC_STAGING       ,2,"4,385,402",119.14
11-Aug-21,2,CSC_STAGING       ,1,"23,109,723",165.75
11-Aug-21,3,CSC_STAGING       ,2,"4,385,175",136.9
11-Aug-21,3,SAPHANADBA        ,1,0,0
11-Aug-21,3,SYSTEM            ,1,0,0
11-Aug-21,4,CSC_STAGING       ,3,"28,560,620",284.05
11-Aug-21,5,CSC_GSM_SCHEDULER ,1,468,90.98
11-Aug-21,5,NIKTANDO          ,1,0,0.22
11-Aug-21,6,CSC_STAGING       ,6,"45,201,295",312.14
11-Aug-21,8,CSC_STAGING       ,2,"4,381,564",167.98
11-Aug-21,8,CSC_UOV_ANG       ,1,"4,060,251",199.85
11-Aug-21,9,CSC_STAGING       ,1,"22,239,898",166.04
11-Aug-21,9,DBAEVA            ,1,0,0
11-Aug-21,10,CSC_GSM_BAAO_UI   ,1,1,1.18
11-Aug-21,10,CSC_STAGING       ,2,"26,529,796",179.91
11-Aug-21,12,CSC_STAGING       ,1,"22,255,483",162.76
11-Aug-21,14,CSC_STAGING       ,1,"22,255,943",166.94
11-Aug-21,14,DBAEVA            ,1,0,0
11-Aug-21,15,DBAEVA            ,1,0,0
11-Aug-21,16,CSC_STAGING       ,1,"22,258,013",163.71
11-Aug-21,17,BGARLAPA          ,1,2,0.13
11-Aug-21,18,CSC_STAGING       ,7,"5,184,397",250.62
11-Aug-21,19,CSC_STAGING       ,4,"28,353,376",210.11
11-Aug-21,21,CSC_GSM_BAAO_UI   ,1,0,9.25
11-Aug-21,21,CSC_STAGING       ,3,"7,437,078",204.06
11-Aug-21,21,CSC_UFO_UI_ID     ,1,18,10.65
11-Aug-21,22,BGARLAPA          ,1,200,40.02
11-Aug-21,22,CSC_GSM_BAAO_UI   ,2,0,1.12
11-Aug-21,22,CSC_STAGING       ,2,"7,107,796",23.74
11-Aug-21,22,CSC_UOV_ANG       ,1,0,17.3
11-Aug-21,22,MONITOR           ,1,1,0.01
11-Aug-21,22,SAPHANADBA        ,1,3,0.17
12-Aug-21,0,CSC_GSM_BAAO_UI   ,1,0,11.8
12-Aug-21,0,CSC_STAGING       ,2,"4,382,269",125.9
12-Aug-21,0,CSC_UFO_UI_ID     ,2,200,57.83
12-Aug-21,0,CSC_UOV_ANG       ,1,0,22.18
12-Aug-21,0,NARIORDA          ,1,"48,790,993",25.23
12-Aug-21,1,CSC_STAGING       ,1,"4,381,551",112.45
12-Aug-21,2,CSC_STAGING       ,4,"41,799,972",181.21
12-Aug-21,3,CSC_STAGING       ,1,"22,224,611",163.77
12-Aug-21,4,CSC_STAGING       ,4,"29,819,843",270.83
12-Aug-21,5,CSC_GSM_SCHEDULER ,1,105,91.07
12-Aug-21,5,CSC_STAGING       ,1,"4,378,798",117.04
12-Aug-21,5,CSC_UOV_ANG       ,1,0,3.73
12-Aug-21,6,CSC_STAGING       ,1,"23,014,064",162.23
12-Aug-21,7,CSC_GSM_BAAO_UI   ,1,0,9.33
12-Aug-21,8,CSC_STAGING       ,2,"4,378,403",175.2
12-Aug-21,9,CSC_STAGING       ,1,"23,033,692",160
12-Aug-21,10,CSC_STAGING       ,1,"23,039,913",162.1
12-Aug-21,10,CSC_UOV_ANG       ,1,"1,600",5.28
12-Aug-21,11,CSC_STAGING       ,1,"23,045,035",164.87
12-Aug-21,11,CSC_UFO_STAGING_ID,1,"31,163",0.08
12-Aug-21,11,JASMINJO          ,1,"2,080",290.69
12-Aug-21,12,CSC_STAGING       ,1,"23,045,376",161.26
12-Aug-21,13,CSC_STAGING       ,4,"29,144,412",209.63
12-Aug-21,15,CSC_STAGING       ,6,"5,174,271",279
12-Aug-21,16,CSC_STAGING       ,1,"23,068,921",123.24
12-Aug-21,16,DBAEVA            ,1,0,0
12-Aug-21,18,CSC_STAGING       ,2,"4,380,178",156.53
12-Aug-21,19,CSC_STAGING       ,6,"45,206,414",275.52
12-Aug-21,20,CSC_STAGING       ,1,"23,066,545",161.27
12-Aug-21,21,CSC_GSM_BAAO_UI   ,1,0,8.06
12-Aug-21,21,CSC_STAGING       ,1,"4,382,869",82.68
12-Aug-21,22,AJAIT             ,1,0,106.64
12-Aug-21,22,DBAEVA            ,1,0,0
12-Aug-21,23,CSC_UOV_ANG       ,2,0,61.54
12-Aug-21,23,PALMUTHU          ,1,0,0.07
13-Aug-21,0,CSC_UOV_ANG       ,1,0,0.32
13-Aug-21,1,CSC_STAGING       ,1,"4,383,426",103.14
13-Aug-21,2,CSC_STAGING       ,2,"4,387,910",123.4
13-Aug-21,2,CSC_UOV_ANG       ,4,66,99.07
13-Aug-21,3,CSC_STAGING       ,4,"29,163,876",209.41
13-Aug-21,4,CSC_STAGING       ,1,"4,385,009",92.05
13-Aug-21,4,_SYS_STATISTICS   ,1,"25,481,332",30.94
13-Aug-21,5,CSC_GSM_SCHEDULER ,1,444,91.08
13-Aug-21,5,CSC_STAGING       ,2,"27,363,103",181.69
13-Aug-21,6,CSC_STAGING       ,1,"4,381,077",100.63
13-Aug-21,7,CSC_STAGING       ,1,"23,037,775",162.76
13-Aug-21,8,CSC_STAGING       ,1,"4,380,365",110.89
13-Aug-21,9,CSC_STAGING       ,5,"34,648,141",218.11
13-Aug-21,9,CSC_UFO_UI_ID     ,1,66,3.55
13-Aug-21,9,CSC_UOV_ANG       ,1,0,98.84
13-Aug-21,10,CSC_STAGING       ,2,"4,382,426",124.42
13-Aug-21,11,CSC_STAGING       ,1,"23,077,609",164.97
13-Aug-21,11,CSC_UFO_ID        ,1,"3,416,041",4.92
13-Aug-21,11,JASMINJO          ,1,1,222.59
13-Aug-21,12,CSC_STAGING       ,1,"4,384,006",111.64
13-Aug-21,12,JASMINJO          ,1,1,254.18
13-Aug-21,13,CSC_STAGING       ,1,"23,083,733",121.16
13-Aug-21,15,CSC_STAGING       ,1,"23,096,703",163.16
13-Aug-21,16,CSC_STAGING       ,2,"27,460,519",184.49
13-Aug-21,16,CSC_UOV_ANG       ,1,"2,000",14.24
13-Aug-21,18,CSC_STAGING       ,6,"852,756",153
13-Aug-21,19,CSC_STAGING       ,2,"4,385,059",95.43
13-Aug-21,20,CSC_STAGING       ,2,"27,470,031",177.06
13-Aug-21,21,CSC_STAGING       ,4,"790,262",142.08
13-Aug-21,22,CSC_STAGING       ,1,"23,098,990",159.62
13-Aug-21,23,CSC_STAGING       ,1,"4,381,442",76.16
14-Aug-21,0,CSC_STAGING       ,5,"34,713,038",213.27
14-Aug-21,1,CSC_STAGING       ,1,"4,381,332",92.77
14-Aug-21,2,CSC_STAGING       ,1,"7,116,786",25.52
14-Aug-21,4,CSC_STAGING       ,1,"23,056,528",165.12
14-Aug-21,4,EXTERNAL_SUPPORT  ,1,"1,056",18.75
14-Aug-21,5,CSC_GSM_SCHEDULER ,1,12,91.11
14-Aug-21,5,CSC_STAGING       ,1,"4,378,618",92.38
14-Aug-21,5,SYSTEM            ,1,1,1.08
14-Aug-21,6,CSC_STAGING       ,1,"7,117,436",23.1
14-Aug-21,7,CSC_STAGING       ,2,"4,378,356",123.4
14-Aug-21,9,CSC_STAGING       ,1,"23,057,724",162.9
14-Aug-21,11,CSC_STAGING       ,2,"4,378,069",101.18
14-Aug-21,12,CSC_STAGING       ,4,"18,558,757",161.79
14-Aug-21,12,_SYS_STATISTICS   ,1,5,16.34
14-Aug-21,13,CSC_STAGING       ,5,"804,091",150.65
14-Aug-21,16,CSC_STAGING       ,4,"29,205,746",206.24
14-Aug-21,17,CSC_STAGING       ,2,"4,378,306",97.61
14-Aug-21,18,CSC_STAGING       ,1,"7,119,848",25.1
14-Aug-21,19,CSC_STAGING       ,1,"4,377,961",118.39
14-Aug-21,20,CSC_STAGING       ,1,"23,055,090",131.1
14-Aug-21,23,CSC_STAGING       ,1,"4,377,557",113.07
15-Aug-21,0,CSC_STAGING       ,2,"27,420,629",138.98
15-Aug-21,1,CSC_STAGING       ,1,"4,377,465",115.04
15-Aug-21,2,CSC_STAGING       ,2,"22,996,276",236.73
15-Aug-21,2,SAPHANADBA        ,1,1,1.08
15-Aug-21,3,CSC_STAGING       ,7,"37,101,269",307.58
15-Aug-21,4,CSC_STAGING       ,5,"44,811,188",132.97
15-Aug-21,5,CSC_GSM_SCHEDULER ,1,391,91.2
15-Aug-21,5,CSC_STAGING       ,2,"4,377,518",141.13
15-Aug-21,6,CSC_STAGING       ,1,"4,377,506",94.22
15-Aug-21,7,CSC_STAGING       ,5,"30,771,721",263.59
15-Aug-21,8,CSC_STAGING       ,1,"22,996,276",119.27
15-Aug-21,9,CSC_STAGING       ,1,"22,998,200",165.35
15-Aug-21,10,CSC_STAGING       ,1,"4,377,677",80.94
15-Aug-21,11,CSC_STAGING       ,2,"4,378,017",100.94
